Date;Area;Day-ahead Price (EUR/MWh)
01/01/2025 20:15:00 - 01/01/2025 20:30:00;BZN|FR;34.93
01/01/2025 20:30:00 - 01/01/2025 20:45:00;BZN|FR;34.93
01/01/2025 20:45:00 - 01/01/2025 21:00:00;BZN|FR;34.93
01/01/2025 21:00:00 - 01/01/2025 21:15:00;BZN|FR;34.69
01/01/2025 21:15:00 - 01/01/2025 21:30:00;BZN|FR;34.69
01/01/2025 21:30:00 - 01/01/2025 21:45:00;BZN|FR;34.69
01/01/2025 21:45:00 - 01/01/2025 22:00:00;BZN|FR;34.69
01/01/2025 22:00:00 - 01/01/2025 22:15:00;BZN|FR;34.69
01/01/2025 22:15:00 - 01/01/2025 22:30:00;BZN|FR;34.69
01/01/2025 22:30:00 - 01/01/2025 22:45:00;BZN|FR;34.69
01/01/2025 22:45:00 - 01/01/2025 23:00:00;BZN|FR;34.69
01/01/2025 23:00:00 - 01/01/2025 23:15:00;BZN|FR;39.84
01/01/2025 23:15:00 - 01/01/2025 23:30:00;BZN|FR;39.84
01/01/2025 23:30:00 - 01/01/2025 23:45:00;BZN|FR;39.84
01/01/2025 23:45:00 - 02/01/2025 00:00:00;BZN|FR;39.84
02/01/2025 00:00:00 - 02/01/2025 00:15:00;BZN|FR;44.10
02/01/2025 00:15:00 - 02/01/2025 00:30:00;BZN|FR;44.10
02/01/2025 00:30:00 - 02/01/2025 00:45:00;BZN|FR;44.10
02/01/2025 00:45:00 - 02/01/2025 01:00:00;BZN|FR;44.10
02/01/2025 01:00:00 - 02/01/2025 01:15:00;BZN|FR;44.70
02/01/2025 01:15:00 - 02/01/2025 01:30:00;BZN|FR;44.70
02/01/2025 01:30:00 - 02/01/2025 01:45:00;BZN|FR;44.70
02/01/2025 01:45:00 - 02/01/2025 02:00:00;BZN|FR;44.70
02/01/2025 02:00:00 - 02/01/2025 02:15:00;BZN|FR;42.92
02/01/2025 02:15:00 - 02/01/2025 02:30:00;BZN|FR;42.92
02/01/2025 02:30:00 - 02/01/2025 02:45:00;BZN|FR;42.92
02/01/2025 02:45:00 - 02/01/2025 03:00:00;BZN|FR;42.92
02/01/2025 03:00:00 - 02/01/2025 03:15:00;BZN|FR;40.15
02/01/2025 03:15:00 - 02/01/2025 03:30:00;BZN|FR;40.15
02/01/2025 03:30:00 - 02/01/2025 03:45:00;BZN|FR;40.15
02/01/2025 03:45:00 - 02/01/2025 04:00:00;BZN|FR;40.15
02/01/2025 04:00:00 - 02/01/2025 04:15:00;BZN|FR;52.51
02/01/2025 04:15:00 - 02/01/2025 04:30:00;BZN|FR;52.51
02/01/2025 04:30:00 - 02/01/2025 04:45:00;BZN|FR;52.51
02/01/2025 04:45:00 - 02/01/2025 05:00:00;BZN|FR;52.51
02/01/2025 05:00:00 - 02/01/2025 05:15:00;BZN|FR;93.30
02/01/2025 05:15:00 - 02/01/2025 05:30:00;BZN|FR;93.30
02/01/2025 05:30:00 - 02/01/2025 05:45:00;BZN|FR;93.30
02/01/2025 05:45:00 - 02/01/2025 06:00:00;BZN|FR;93.30
02/01/2025 06:00:00 - 02/01/2025 06:15:00;BZN|FR;120.03
02/01/2025 06:15:00 - 02/01/2025 06:30:00;BZN|FR;120.03
02/01/2025 06:30:00 - 02/01/2025 06:45:00;BZN|FR;120.03
02/01/2025 06:45:00 - 02/01/2025 07:00:00;BZN|FR;120.03
02/01/2025 07:00:00 - 02/01/2025 07:15:00;BZN|FR;135.52
02/01/2025 07:15:00 - 02/01/2025 07:30:00;BZN|FR;135.52
02/01/2025 07:30:00 - 02/01/2025 07:45:00;BZN|FR;135.52
02/01/2025 07:45:00 - 02/01/2025 08:00:00;BZN|FR;135.52
